"","entrezgene_id","model_gene","ensembl_gene_id"
"238",570,570.1,"ENSG00000136881"
"239",586,586.1,"ENSG00000060982"
"240",587,587.1,"ENSG00000105552"
"241",593,593.1,"ENSG00000248098"
"242",594,594.2,"ENSG00000083123"
"243",594,594.1,"ENSG00000083123"
"244",622,622.2,"ENSG00000161267"
"245",622,622.2,"ENSG00000275544"
"246",622,622.1,"ENSG00000161267"
"247",622,622.1,"ENSG00000275544"
"248",622,622.3,"ENSG00000161267"
"249",622,622.3,"ENSG00000275544"
"250",635,635.1,"ENSG00000145692"
"251",644,644.1,"ENSG00000106605"
"252",645,645.1,"ENSG00000090013"
"253",669,669.2,"ENSG00000172331"
"254",669,669.1,"ENSG00000172331"
"255",682,682.1,"ENSG00000172270"
"256",686,686.1,"ENSG00000169814"
"257",759,759.1,"ENSG00000133742"
"258",760,760.1,"ENSG00000104267"
"259",761,761.1,"ENSG00000164879"
"260",762,762.1,"ENSG00000167434"
"261",763,763.1,"ENSG00000174990"
"262",765,765.1,"ENSG00000131686"
"263",766,766.2,"ENSG00000168748"
"264",766,766.1,"ENSG00000168748"
"265",767,767.1,"ENSG00000178538"
"266",768,768.1,"ENSG00000107159"
"267",771,771.1,"ENSG00000074410"
"268",771,771.2,"ENSG00000074410"
"269",788,788.1,"ENSG00000178537"
"270",790,790.1,"ENSG00000084774"
"271",847,847.1,"ENSG00000121691"
"272",873,873.1,"ENSG00000159228"
"273",874,874.1,"ENSG00000159231"
"274",875,875.1,"ENSG00000160200"
"275",883,883.1,"ENSG00000171097"
"276",883,883.1,"ENSG00000286112"
"277",948,948.1,"ENSG00000135218"
"278",949,949.1,"ENSG00000073060"
"279",952,952.1,"ENSG00000004468"
"280",953,953.1,"ENSG00000138185"
"281",954,954.2,"ENSG00000054179"
"282",954,954.1,"ENSG00000054179"
"283",955,955.1,"ENSG00000197586"
"284",956,956.1,"ENSG00000168032"
"285",957,957.1,"ENSG00000187097"
"286",978,978.1,"ENSG00000158825"
"287",1036,1036.1,"ENSG00000129596"
"288",1040,1040.1,"ENSG00000163624"
"289",1056,1056.1,"ENSG00000170835"
"290",1103,1103.3,"ENSG00000070748"
"291",1103,1103.2,"ENSG00000070748"
"292",1103,1103.4,"ENSG00000070748"
"293",1103,1103.1,"ENSG00000070748"
"294",1109,1109.1,"ENSG00000198610"
"295",1118,1118.1,"ENSG00000133063"
"296",1119,1119.2,"ENSG00000110721"
"297",1119,1119.1,"ENSG00000110721"
"298",1120,1120.1,"ENSG00000100288"
"299",1120,1120.2,"ENSG00000100288"
"300",1152,1152.1,"ENSG00000166165"
"301",1158,1158.1,"ENSG00000104879"
"302",1159,1159.1,"ENSG00000237289"
"303",1160,1160.1,"ENSG00000131730"
"304",1178,1178.1,"ENSG00000105205"
"305",1200,1200.1,"ENSG00000166340"
"306",1215,1215.1,"ENSG00000092009"
"307",1244,1244.1,"ENSG00000023839"
"308",1267,1267.1,"ENSG00000173786"
"309",1312,1312.2,"ENSG00000093010"
"310",1312,1312.1,"ENSG00000093010"
"311",1327,1327.1,"ENSG00000131143"
"312",1329,1329.1,"ENSG00000135940"
"313",1337,1337.1,"ENSG00000111775"
"314",1339,1339.1,"ENSG00000156885"
"315",1340,1340.1,"ENSG00000126267"
"316",1345,1345.1,"ENSG00000164919"
"317",1346,1346.1,"ENSG00000161281"
"318",1347,1347.1,"ENSG00000112695"
"319",1349,1349.1,"ENSG00000131174"
"320",1350,1350.1,"ENSG00000127184"
"321",1351,1351.1,"ENSG00000176340"
"322",1356,1356.1,"ENSG00000047457"
"323",1357,1357.1,"ENSG00000091704"
"324",1358,1358.1,"ENSG00000158516"
"325",1371,1371.1,"ENSG00000080819"
"326",1373,1373.2,"ENSG00000021826"
"327",1373,1373.1,"ENSG00000021826"
"328",1374,1374.1,"ENSG00000110090"
"329",1375,1375.3,"ENSG00000205560"
"330",1375,1375.4,"ENSG00000205560"
"331",1375,1375.2,"ENSG00000205560"
"332",1375,1375.1,"ENSG00000205560"
"333",1376,1376.1,"ENSG00000157184"
"334",1384,1384.3,"ENSG00000095321"
"335",1384,1384.2,"ENSG00000095321"
"336",1384,1384.1,"ENSG00000095321"
"337",1431,1431.1,"ENSG00000062485"
"338",1431,1431.2,"ENSG00000062485"
"339",1468,1468.1,"ENSG00000183048"
"340",1491,1491.2,"ENSG00000116761"
"341",1491,1491.1,"ENSG00000116761"
"342",1503,1503.1,"ENSG00000171793"
"343",1537,1537.1,"ENSG00000179091"
"344",1543,1543.1,"ENSG00000140465"
"345",1544,1544.1,"ENSG00000140505"
"346",1545,1545.1,"ENSG00000138061"
"347",1548,1548.1,"ENSG00000255974"
"348",1549,1549.1,"ENSG00000198077"
"349",1551,1551.1,"ENSG00000160870"
"350",1553,1553.1,"ENSG00000197838"
"351",1555,1555.1,"ENSG00000197408"
"352",1557,1557.1,"ENSG00000165841"
"353",1558,1558.2,"ENSG00000138115"
"354",1558,1558.1,"ENSG00000138115"
"355",1559,1559.1,"ENSG00000138109"
"356",1562,1562.1,"ENSG00000108242"
"357",1565,1565.1,"ENSG00000100197"
"358",1565,1565.1,"ENSG00000282966"
"359",1565,1565.1,"ENSG00000283284"
"360",1565,1565.1,"ENSG00000272532"
"361",1565,1565.1,"ENSG00000280905"
"362",1565,1565.1,"ENSG00000275211"
"363",1571,1571.1,"ENSG00000130649"
"364",1572,1572.1,"ENSG00000197446"
"365",1573,1573.1,"ENSG00000134716"
"366",1576,1576.1,"ENSG00000160868"
"367",1577,1577.1,"ENSG00000106258"
"368",1579,1579.1,"ENSG00000187048"
"369",1580,1580.1,"ENSG00000142973"
"370",1581,1581.1,"ENSG00000167910"
"371",1582,1582.1,"ENSG00000180432"
"372",1583,1583.1,"ENSG00000140459"
"373",1583,1583.1,"ENSG00000288362"
"374",1584,1584.1,"ENSG00000160882"
"375",1585,1585.1,"ENSG00000179142"
"376",1586,1586.1,"ENSG00000148795"
"377",1588,1588.2,"ENSG00000137869"
